,gameid,date,blue_team,blue_top,blue_jg,blue_mid,blue_adc,blue_supp,red_team,red_top,red_jg,red_mid,red_adc,red_supp,winner
263,ESPORTSTMNT03_2795619,2022-06-24 06:40:14,Hanwha Life Esports,DuDu,OnFleek,Karis,SamD,Vsta,DRX,Kingen,Pyosik,Zeka,Deft,BeryL,Red
264,ESPORTSTMNT03_2795673,2022-06-24 08:37:20,Hanwha Life Esports,DuDu,OnFleek,Karis,SamD,Vsta,DRX,Kingen,Pyosik,Zeka,Deft,BeryL,Blue
265,ESPORTSTMNT03_2795690,2022-06-24 09:33:17,DRX,Kingen,Pyosik,Zeka,Deft,BeryL,Hanwha Life Esports,DuDu,OnFleek,Karis,SamD,Vsta,Blue
266,ESPORTSTMNT03_2785721,2022-06-24 10:33:24,Fredit BRION,Morgan,UmTi,Lava,Hena,Delight,Gen.G,Doran,Peanut,Chovy,Ruler,Lehends,Red
267,ESPORTSTMNT03_2785767,2022-06-24 11:59:53,Fredit BRION,Morgan,UmTi,Lava,Hena,Delight,Gen.G,Doran,Peanut,Chovy,Ruler,Lehends,Red
268,ESPORTSTMNT03_2786350,2022-06-25 08:10:51,DWG KIA,Nuguri,Canyon,ShowMaker,deokdam,Kellin,T1,Zeus,Oner,Faker,Gumayusi,Keria,Red
269,ESPORTSTMNT03_2786361,2022-06-25 08:47:39,DWG KIA,Nuguri,Canyon,ShowMaker,deokdam,Kellin,T1,Zeus,Oner,Faker,Gumayusi,Keria,Red
270,ESPORTSTMNT03_2786395,2022-06-25 09:47:04,Liiv SANDBOX,Dove,Croco,Clozer,Prince,Kael,KT Rolster,Rascal,Cuzz,Aria,Aiming,Life,Blue
271,ESPORTSTMNT03_2786455,2022-06-25 11:44:46,KT Rolster,Rascal,Cuzz,Aria,Aiming,Life,Liiv SANDBOX,Dove,Croco,Clozer,Prince,Kael,Red
272,ESPORTSTMNT03_2787037,2022-06-26 08:19:26,Hanwha Life Esports,DuDu,OnFleek,Karis,SamD,Vsta,Nongshim RedForce,Canna,Dread,Bdd,Ghost,Effort,Red
273,ESPORTSTMNT03_2787043,2022-06-26 08:52:14,Hanwha Life Esports,DuDu,OnFleek,Karis,SamD,Vsta,Nongshim RedForce,Canna,Dread,Bdd,Ghost,Effort,Blue
274,ESPORTSTMNT03_2787058,2022-06-26 09:47:24,Nongshim RedForce,Canna,Dread,Bdd,Ghost,Effort,Hanwha Life Esports,DuDu,OnFleek,Karis,SamD,Vsta,Blue
275,ESPORTSTMNT03_2787149,2022-06-26 11:57:44,DRX,Kingen,Pyosik,Zeka,Deft,BeryL,Kwangdong Freecs,Kiin,Ellim,FATE,Teddy,Moham,Blue
276,ESPORTSTMNT03_2787163,2022-06-26 12:39:03,Kwangdong Freecs,Kiin,Ellim,FATE,Teddy,Hoit,DRX,Kingen,Pyosik,Zeka,Deft,BeryL,Red
277,ESPORTSTMNT06_2510001,2022-06-29 06:58:29,Liiv SANDBOX,Dove,Croco,Clozer,Prince,Kael,DRX,Kingen,Pyosik,Zeka,Deft,BeryL,Blue
278,ESPORTSTMNT06_2510009,2022-06-29 08:34:45,Liiv SANDBOX,Dove,Croco,Clozer,Prince,Kael,DRX,Kingen,Pyosik,Zeka,Deft,BeryL,Red
279,ESPORTSTMNT06_2500014,2022-06-29 09:39:20,DRX,Kingen,Pyosik,Zeka,Deft,BeryL,Liiv SANDBOX,Dove,Croco,Clozer,Prince,Kael,Red
280,ESPORTSTMNT06_2500018,2022-06-29 10:44:47,T1,Zeus,Oner,Faker,Gumayusi,Keria,Kwangdong Freecs,Kiin,Ellim,FATE,Teddy,Hoit,Blue
281,ESPORTSTMNT06_2500033,2022-06-29 12:22:15,T1,Zeus,Oner,Faker,Gumayusi,Keria,Kwangdong Freecs,Kiin,Ellim,FATE,Teddy,Hoit,Red
282,ESPORTSTMNT06_2500037,2022-06-29 13:16:11,T1,Zeus,Oner,Faker,Gumayusi,Keria,Kwangdong Freecs,Kiin,Ellim,FATE,Teddy,Hoit,Red
283,ESPORTSTMNT06_2500054,2022-06-30 06:56:00,Fredit BRION,Morgan,Raptor,Lava,Hena,Delight,Hanwha Life Esports,DuDu,OnFleek,Karis,SamD,Vsta,Blue
284,ESPORTSTMNT06_2500065,2022-06-30 08:48:50,Hanwha Life Esports,DuDu,OnFleek,Karis,SamD,Vsta,Fredit BRION,Morgan,Raptor,Lava,Hena,Delight,Blue
285,ESPORTSTMNT06_2500066,2022-06-30 09:44:56,Fredit BRION,Morgan,Raptor,Lava,Hena,Delight,Hanwha Life Esports,DuDu,OnFleek,Karis,SamD,Vsta,Red
286,ESPORTSTMNT06_2500067,2022-06-30 10:40:42,Gen.G,Doran,Peanut,Chovy,Ruler,Lehends,Nongshim RedForce,Canna,Dread,Bdd,Ghost,Effort,Blue
287,ESPORTSTMNT06_2500074,2022-06-30 12:23:24,Nongshim RedForce,Canna,Dread,Bdd,Ghost,Effort,Gen.G,Doran,Peanut,Chovy,Ruler,Lehends,Red
288,ESPORTSTMNT06_2500154,2022-07-01 06:36:49,KT Rolster,Rascal,Cuzz,VicLa,Aiming,Life,DWG KIA,Nuguri,Canyon,ShowMaker,deokdam,Kellin,Red
289,ESPORTSTMNT06_2500165,2022-07-01 08:37:34,DWG KIA,Nuguri,Canyon,ShowMaker,deokdam,Kellin,KT Rolster,Rascal,Cuzz,VicLa,Aiming,Life,Blue
290,ESPORTSTMNT06_2500166,2022-07-01 09:37:57,T1,Zeus,Oner,Faker,Gumayusi,Keria,DRX,Kingen,Pyosik,Zeka,Deft,BeryL,Blue
291,ESPORTSTMNT06_2500194,2022-07-01 11:48:26,T1,Zeus,Oner,Faker,Gumayusi,Keria,DRX,Kingen,Pyosik,Zeka,Deft,BeryL,Blue
292,ESPORTSTMNT06_2510204,2022-07-02 07:06:28,Liiv SANDBOX,Dove,Croco,Clozer,Prince,Kael,Fredit BRION,Sw0rd,UmTi,Lava,Hena,Delight,Blue
293,ESPORTSTMNT06_2500207,2022-07-02 08:42:06,Fredit BRION,Sw0rd,UmTi,Lava,Hena,Delight,Liiv SANDBOX,Dove,Croco,Clozer,Prince,Kael,Red
294,ESPORTSTMNT06_2510219,2022-07-02 09:37:15,Gen.G,Doran,Peanut,Chovy,Ruler,Lehends,Kwangdong Freecs,Kiin,Ellim,FATE,Teddy,Hoit,Blue
295,ESPORTSTMNT06_2510232,2022-07-02 11:39:32,Gen.G,Doran,Peanut,Chovy,Ruler,Lehends,Kwangdong Freecs,Kiin,Ellim,FATE,Teddy,Hoit,Blue
296,ESPORTSTMNT06_2510234,2022-07-03 06:25:21,DWG KIA,Nuguri,Canyon,ShowMaker,deokdam,Kellin,Nongshim RedForce,Canna,Dread,Bdd,Ghost,Peter,Blue
297,ESPORTSTMNT06_2510240,2022-07-03 08:40:08,DWG KIA,Nuguri,Canyon,ShowMaker,deokdam,Kellin,Nongshim RedForce,Canna,Dread,Bdd,Ghost,Effort,Blue
298,ESPORTSTMNT06_2510243,2022-07-03 09:31:38,KT Rolster,Rascal,Cuzz,VicLa,Aiming,Life,Hanwha Life Esports,DuDu,OnFleek,Karis,SamD,Vsta,Blue
299,ESPORTSTMNT06_2510261,2022-07-03 11:39:06,Hanwha Life Esports,DuDu,OnFleek,Karis,SamD,Vsta,KT Rolster,Rascal,Cuzz,VicLa,Aiming,Life,Red
300,ESPORTSTMNT04_2431079,2022-07-06 08:08:00,Nongshim RedForce,Canna,Dread,Bdd,Ghost,Effort,KT Rolster,Rascal,Cuzz,VicLa,Aiming,Life,Blue
301,ESPORTSTMNT04_2431097,2022-07-06 09:09:00,KT Rolster,Rascal,Cuzz,VicLa,Aiming,Life,Nongshim RedForce,Canna,Dread,Bdd,Ghost,Effort,Blue
302,ESPORTSTMNT04_2431101,2022-07-06 10:02:00,Nongshim RedForce,Canna,Dread,Bdd,Ghost,Effort,KT Rolster,Rascal,Cuzz,VicLa,Aiming,Life,Red
303,ESPORTSTMNT04_2431109,2022-07-06 11:48:00,Kwangdong Freecs,Kiin,Ellim,FATE,Teddy,Moham,Fredit BRION,Sw0rd,UmTi,Lava,Gamin,Delight,Blue
304,ESPORTSTMNT04_2431125,2022-07-06 12:41:00,Kwangdong Freecs,Kiin,Ellim,FATE,Teddy,Moham,Fredit BRION,Sw0rd,UmTi,Lava,Hena,Delight,Blue
